,SuhuMin,SuhuMax,SinarMatahari,Kelembaban9am,Kelembaban3pm,BersaljuHariIni,Awan9am,Awan3pm,Hujan,KecepatanAnginTerkencang,BersaljuBesok
201,7.1,21.5,7.599527470202413,66.0,43.0,0,0.0,4.516139514731369,0.2,37.0,0
202,6.9,18.3,9.8,55.0,38.0,0,4.4508929235253,4.516139514731369,0.0,37.0,0
209,10.5,28.2,7.599527470202413,50.0,33.0,0,4.4508929235253,4.516139514731369,0.0,43.0,0
210,18.6,25.0,7.599527470202413,78.0,76.0,0,4.4508929235253,4.516139514731369,0.0,44.0,0
211,6.1,16.3,7.599527470202413,75.0,57.0,0,7.0,7.0,1.0,35.0,0
215,14.0,21.8,9.4,74.0,49.0,0,7.0,6.0,0.0,39.0,0
217,3.2,13.3,7.599527470202413,99.0,65.0,1,8.0,7.0,1.8,24.0,0
219,17.1,22.8,7.599527470202413,49.0,74.0,0,4.4508929235253,4.516139514731369,0.0,39.0,0
225,11.2,16.8,7.599527470202413,96.0,74.0,0,4.4508929235253,4.516139514731369,1.0,19.0,0
228,6.6,20.4,7.599527470202413,66.0,39.0,0,4.4508929235253,4.516139514731369,0.0,33.0,0
232,1.1,18.3,7.599527470202413,95.0,57.0,0,8.0,4.516139514731369,0.6,50.0,0
235,3.9,19.8,7.599527470202413,61.0,45.0,0,3.0,7.0,0.0,50.0,0
239,2.4,21.0,7.599527470202413,83.0,29.0,0,4.4508929235253,4.516139514731369,0.0,31.0,0
241,21.3,34.7,7.599527470202413,70.0,37.0,0,4.4508929235253,4.516139514731369,0.0,39.0,1
242,10.3,19.5,7.599527470202413,73.0,68.0,0,4.4508929235253,4.516139514731369,0.0,35.0,0
243,16.6,27.9,7.599527470202413,67.0,40.0,0,4.4508929235253,4.516139514731369,0.0,37.0,0
247,16.9,25.8,7.599527470202413,51.0,50.0,0,4.4508929235253,4.516139514731369,0.0,48.0,1
253,12.0,25.2,7.599527470202413,74.0,51.56762611023354,0,0.0,4.516139514731369,0.0,40.032002287991006,0
254,12.3,30.6,7.599527470202413,79.0,38.0,0,4.4508929235253,4.516139514731369,0.2,31.0,0
255,20.6,38.9,7.599527470202413,40.0,18.0,0,1.0,4.516139514731369,0.0,56.0,0
256,6.5,13.8,7.599527470202413,92.0,67.0,0,7.0,8.0,0.0,41.0,0
258,7.4,26.3,7.599527470202413,70.0,26.0,0,4.4508929235253,4.516139514731369,0.0,33.0,0
259,8.0,26.6,7.599527470202413,67.0,36.0,0,4.4508929235253,4.516139514731369,0.0,57.0,0
266,10.1,18.2,7.599527470202413,46.0,58.0,0,4.4508929235253,6.0,0.0,50.0,0
267,24.0,37.0,7.599527470202413,72.0,51.56762611023354,0,2.0,4.516139514731369,0.0,37.0,0
268,10.0,19.0,7.599527470202413,83.0,51.56762611023354,0,1.0,4.516139514731369,0.8,40.032002287991006,0
269,9.9,20.7,7.5,84.0,49.0,0,5.0,6.0,0.0,46.0,1
270,16.1,19.9,9.0,64.0,78.0,0,1.0,7.0,0.0,54.0,0
272,20.0,28.6,7.599527470202413,69.0,64.0,0,4.4508929235253,4.516139514731369,0.2,35.0,0
274,17.0,27.0,7.599527470202413,69.0,65.0,0,4.4508929235253,4.516139514731369,0.0,20.0,0
275,1.3,15.9,7.599527470202413,97.0,47.0,0,4.4508929235253,8.0,0.0,35.0,0
276,17.8,20.2,7.599527470202413,77.0,80.0,0,8.0,7.0,0.0,59.0,1
281,13.8,29.3,7.599527470202413,64.0,51.0,0,4.4508929235253,4.516139514731369,0.0,33.0,0
284,17.7,36.5,7.599527470202413,51.0,17.0,0,4.4508929235253,4.516139514731369,0.0,48.0,1
285,9.5,14.8,7.599527470202413,44.0,75.0,0,4.4508929235253,4.516139514731369,0.2,46.0,0
293,10.0,19.6,7.599527470202413,59.0,35.0,0,4.4508929235253,4.516139514731369,0.0,44.0,0
294,14.6,26.1,7.9,61.0,55.0,0,2.0,7.0,0.0,33.0,0
296,16.0,27.2,7.599527470202413,73.0,49.0,0,4.4508929235253,4.516139514731369,0.0,26.0,0
299,9.9,28.0,7.599527470202413,65.0,32.0,0,4.4508929235253,4.516139514731369,0.0,43.0,0
301,17.8,32.9,7.599527470202413,76.0,62.0,0,4.4508929235253,4.516139514731369,0.4,41.0,0
303,18.1,32.4,8.7,36.0,25.0,0,6.0,7.0,0.0,37.0,0
305,3.8,22.6,9.1,83.0,33.0,0,4.4508929235253,4.516139514731369,0.0,20.0,0
306,16.4,25.2,6.7,82.0,65.0,1,6.0,4.0,1.4,33.0,0
310,10.2,15.6,7.599527470202413,70.0,51.56762611023354,0,7.0,4.516139514731369,0.0,40.032002287991006,1
311,14.4,24.3,7.599527470202413,60.0,30.0,0,1.0,4.0,0.0,41.0,0
315,8.2,15.1,7.599527470202413,85.0,77.0,0,4.4508929235253,4.516139514731369,0.4,41.0,1
317,4.4,19.2,7.599527470202413,99.0,58.0,0,4.4508929235253,4.516139514731369,0.4,20.0,0
319,7.9,19.5,7.599527470202413,72.0,36.0,0,3.0,3.0,0.0,39.0,0
320,8.1,19.7,7.5,73.0,46.0,0,7.0,3.0,0.0,37.0,0
327,2.5,19.4,7.599527470202413,95.0,47.0,0,5.0,3.0,0.2,15.0,0
328,6.1,15.8,7.599527470202413,96.0,78.0,0,4.0,7.0,0.2,24.0,0
331,9.6,20.5,7.6,76.0,40.0,0,2.0,7.0,0.0,35.0,0
333,12.5,25.0,7.599527470202413,60.0,24.0,0,6.0,4.516139514731369,0.0,33.0,0
335,20.8,26.8,7.599527470202413,46.0,77.0,0,4.4508929235253,6.0,0.4,59.0,0
337,13.2,23.4,8.7,69.0,42.0,0,2.0,3.0,0.2,24.0,0
338,26.4,39.4,7.599527470202413,58.0,38.0,0,3.0,5.0,0.0,44.0,1
348,2.7,16.1,7.599527470202413,56.0,39.0,0,1.0,4.516139514731369,0.0,31.0,0
349,6.1,26.2,7.599527470202413,54.0,19.0,0,4.4508929235253,4.516139514731369,0.0,33.0,0
350,16.8,31.0,7.599527470202413,82.0,47.0,0,4.4508929235253,4.516139514731369,0.0,26.0,0
351,20.6,29.3,7.599527470202413,70.0,64.0,0,4.4508929235253,4.516139514731369,0.0,30.0,0
354,13.2,22.9,9.8,70.0,64.0,0,1.0,4.0,0.0,28.0,0
355,24.0,31.9,9.5,52.0,50.0,0,2.0,7.0,0.0,50.0,0
358,20.7,26.0,7.599527470202413,68.0,59.0,0,7.0,8.0,0.2,40.032002287991006,0
364,8.4,19.0,7.599527470202413,82.0,37.0,0,4.4508929235253,4.516139514731369,0.0,30.0,0
365,10.8,17.0,7.4,58.0,39.0,0,7.0,4.0,0.0,41.0,0
371,10.0,24.9,9.3,49.0,29.0,0,4.0,6.0,0.0,35.0,0
372,6.2,16.0,7.599527470202413,85.0,90.0,0,4.4508929235253,4.516139514731369,0.6,26.0,1
374,3.8,20.2,9.7,71.0,41.0,0,1.0,4.516139514731369,0.0,24.0,0
375,15.0,30.1,9.8,41.0,12.0,0,0.0,3.0,0.0,33.0,0
377,5.6,16.7,7.599527470202413,95.0,66.0,0,4.4508929235253,4.516139514731369,0.2,30.0,1
380,6.6,20.0,7.599527470202413,71.0,41.0,0,4.4508929235253,4.516139514731369,0.2,31.0,0
381,9.5,19.2,8.6,61.0,39.0,0,5.0,3.0,0.0,43.0,0
385,11.5,22.0,7.599527470202413,95.0,76.0,0,8.0,4.516139514731369,0.0,24.0,0
388,5.6,18.8,7.2,55.0,52.0,0,2.0,7.0,0.0,56.0,0
390,13.8,30.6,7.599527470202413,87.0,41.0,0,4.4508929235253,4.516139514731369,0.0,28.0,0
391,19.6,28.0,9.8,67.0,49.0,0,5.0,5.0,0.0,35.0,0
392,15.1,22.4,7.599527470202413,85.0,64.0,1,4.4508929235253,4.516139514731369,2.0,44.0,0
394,10.8,22.6,7.599527470202413,65.0,34.0,0,4.4508929235253,3.0,0.0,31.0,0
396,6.9,18.4,7.599527470202413,80.0,61.0,0,4.4508929235253,4.516139514731369,0.0,31.0,0
397,20.2,27.2,8.6,69.0,62.0,1,6.0,6.0,1.6,40.032002287991006,1
398,7.1,25.2,7.599527470202413,52.0,30.0,0,4.4508929235253,4.516139514731369,0.0,48.0,0
400,13.8,23.1,7.599527470202413,62.0,51.0,1,4.4508929235253,4.516139514731369,1.6,50.0,0
403,10.2,21.6,9.5,57.0,38.0,0,6.0,4.0,0.0,20.0,0
404,14.5,36.8,7.599527470202413,56.0,22.0,0,4.4508929235253,4.516139514731369,0.0,30.0,0
406,12.6,21.5,7.599527470202413,65.0,72.0,0,4.4508929235253,4.516139514731369,0.0,28.0,1
407,10.1,24.8,7.599527470202413,63.0,36.0,0,6.0,7.0,0.0,40.032002287991006,1
408,9.0,21.1,7.599527470202413,68.0,61.0,0,4.4508929235253,4.516139514731369,0.0,59.0,0
409,5.8,16.4,9.6,53.0,32.0,0,1.0,3.0,0.0,46.0,0
411,18.3,26.0,7.599527470202413,81.0,52.0,0,8.0,3.0,1.0,37.0,0
414,0.3,16.6,7.599527470202413,79.0,46.0,0,4.4508929235253,4.516139514731369,0.0,30.0,0
416,14.8,27.3,7.599527470202413,81.0,50.0,0,4.4508929235253,4.516139514731369,0.0,28.0,0
419,11.6,23.7,7.599527470202413,52.0,35.0,0,4.4508929235253,4.516139514731369,0.0,44.0,1
420,16.3,35.4,7.599527470202413,72.0,17.0,0,4.4508929235253,4.516139514731369,0.0,39.0,1
421,20.5,27.5,7.599527470202413,78.0,75.0,0,4.4508929235253,4.516139514731369,0.0,35.0,1
422,6.3,13.8,7.599527470202413,94.0,74.0,0,4.4508929235253,4.516139514731369,1.0,13.0,1
423,5.9,24.8,7.599527470202413,82.0,28.0,0,4.4508929235253,4.516139514731369,0.0,50.0,0
425,11.3,14.5,8.2,65.0,58.0,1,7.0,4.0,1.2,40.032002287991006,1
426,20.0,33.4,7.599527470202413,68.89557674171047,51.56762611023354,0,4.4508929235253,4.516139514731369,0.0,13.0,0
427,7.8,32.5,7.599527470202413,34.0,13.0,0,4.4508929235253,4.516139514731369,0.0,43.0,0
431,14.2,23.1,7.599527470202413,75.0,60.0,0,4.4508929235253,4.516139514731369,0.0,15.0,1
432,3.7,15.9,7.599527470202413,100.0,67.0,0,4.4508929235253,4.516139514731369,0.0,15.0,0
435,18.8,25.5,7.9,61.0,57.0,0,7.0,7.0,0.0,39.0,0
436,9.8,20.1,6.4,55.0,75.0,1,4.0,7.0,1.2,54.0,0
438,8.3,19.5,7.599527470202413,56.0,45.0,0,4.4508929235253,4.516139514731369,0.0,28.0,0
439,11.0,29.3,9.5,72.0,52.0,0,4.0,4.0,0.0,54.0,1
440,17.9,38.1,7.599527470202413,80.0,59.0,0,4.4508929235253,4.516139514731369,0.0,57.0,1
441,6.6,12.3,7.599527470202413,74.0,81.0,0,7.0,8.0,0.0,44.0,1
443,3.9,15.6,7.599527470202413,82.0,61.0,0,1.0,7.0,0.2,31.0,0
445,17.6,22.4,7.599527470202413,83.0,69.0,0,8.0,7.0,0.6,30.0,0
446,11.3,24.3,7.599527470202413,74.0,37.0,0,4.4508929235253,4.516139514731369,0.0,30.0,0
447,21.8,28.9,7.4,61.0,56.0,0,7.0,3.0,0.0,31.0,1
449,11.3,14.5,7.599527470202413,76.0,91.0,0,4.4508929235253,4.516139514731369,0.0,44.0,1
450,16.7,21.3,7.599527470202413,65.0,69.0,0,4.4508929235253,4.516139514731369,0.0,31.0,0
451,10.4,18.4,7.599527470202413,48.0,58.0,0,4.4508929235253,4.516139514731369,0.0,31.0,0
452,14.5,29.4,7.599527470202413,54.0,44.0,0,4.4508929235253,8.0,0.0,41.0,1
456,18.1,34.8,7.599527470202413,36.0,24.0,0,4.4508929235253,4.516139514731369,0.0,28.0,0
458,10.4,17.4,7.599527470202413,66.0,65.0,1,4.4508929235253,4.516139514731369,1.4,31.0,0
461,5.2,16.2,7.7,95.0,54.0,0,7.0,6.0,0.0,28.0,0
462,14.8,19.6,7.599527470202413,64.0,47.0,0,4.4508929235253,4.516139514731369,0.0,35.0,0
464,6.5,19.8,7.599527470202413,76.0,59.0,0,4.4508929235253,4.516139514731369,0.0,19.0,0
474,6.8,13.9,7.599527470202413,49.0,82.0,0,5.0,7.0,0.0,57.0,1
475,3.4,16.1,7.599527470202413,66.0,44.0,1,1.0,5.0,1.2,37.0,0
480,6.6,10.4,7.599527470202413,99.0,93.0,1,8.0,8.0,1.6,35.0,1
484,26.7,37.4,10.0,42.0,27.0,0,3.0,6.0,0.0,59.0,1
485,23.0,30.0,7.599527470202413,75.0,70.0,0,4.4508929235253,4.516139514731369,0.0,26.0,0
486,12.0,20.4,7.599527470202413,84.0,74.0,0,8.0,4.516139514731369,0.0,28.0,0
487,10.5,22.2,7.599527470202413,82.0,61.0,0,4.4508929235253,4.516139514731369,0.0,24.0,0
491,13.0,20.9,7.599527470202413,58.0,64.0,0,4.4508929235253,4.516139514731369,0.0,39.0,0
492,0.3,17.1,8.5,71.0,36.0,0,3.0,5.0,0.0,28.0,0
496,5.8,15.0,6.4,76.0,40.0,0,7.0,7.0,0.0,33.0,0
500,11.5,25.0,7.599527470202413,69.0,37.0,0,4.4508929235253,4.516139514731369,0.0,35.0,0
501,24.7,33.3,9.1,77.0,72.0,0,3.0,4.0,0.0,30.0,1
502,13.5,21.0,7.599527470202413,61.0,50.0,0,4.4508929235253,4.516139514731369,0.0,41.0,0
503,13.2,20.5,7.599527470202413,48.0,47.0,0,8.0,4.516139514731369,0.0,39.0,0
504,5.5,16.9,7.599527470202413,83.0,50.0,0,3.0,7.0,0.0,30.0,0
507,8.2,18.3,7.9,66.0,48.0,0,3.0,5.0,0.0,24.0,0
508,12.4,22.9,9.8,53.0,38.0,0,6.0,5.0,0.0,37.0,0
509,19.2,26.7,7.599527470202413,85.0,74.0,0,4.4508929235253,4.516139514731369,0.0,17.0,0
516,18.6,25.2,7.599527470202413,60.0,76.0,0,4.4508929235253,4.516139514731369,0.0,50.0,0
517,7.9,23.6,7.599527470202413,83.0,48.0,0,4.4508929235253,4.516139514731369,0.2,30.0,0
524,7.7,12.7,7.599527470202413,87.0,92.0,0,4.4508929235253,4.516139514731369,0.2,33.0,1
525,8.2,18.8,7.599527470202413,56.0,37.0,0,6.0,7.0,0.0,39.0,0
527,12.2,23.1,7.599527470202413,55.0,51.0,0,4.4508929235253,4.516139514731369,0.0,43.0,0
528,12.5,18.5,7.599527470202413,72.0,69.0,0,1.0,8.0,0.0,52.0,0
530,9.9,15.1,7.599527470202413,77.0,69.0,0,4.4508929235253,4.516139514731369,0.0,48.0,1
532,9.1,20.1,7.599527470202413,34.0,36.0,0,4.4508929235253,4.516139514731369,0.0,30.0,0
536,22.5,28.0,7.599527470202413,98.0,82.0,0,4.4508929235253,4.516139514731369,0.2,22.0,1
539,21.9,29.4,7.599527470202413,57.0,52.0,0,4.4508929235253,4.516139514731369,0.0,30.0,0
543,7.9,24.1,7.599527470202413,99.0,66.0,0,4.4508929235253,4.516139514731369,0.0,28.0,0
544,6.0,22.5,7.599527470202413,51.0,45.0,0,4.4508929235253,4.516139514731369,0.0,39.0,0
549,10.6,25.8,7.599527470202413,60.0,29.0,0,4.4508929235253,4.516139514731369,0.0,44.0,0
551,6.5,21.3,8.4,52.0,32.0,0,0.0,6.0,0.0,37.0,0
556,9.9,17.5,7.599527470202413,79.0,51.56762611023354,0,5.0,4.516139514731369,0.0,40.032002287991006,0
559,0.8,12.7,7.599527470202413,100.0,82.0,0,4.4508929235253,4.516139514731369,0.2,40.032002287991006,0
562,13.2,20.8,6.6,77.0,75.0,0,4.4508929235253,4.516139514731369,0.8,52.0,0
563,21.2,23.8,7.599527470202413,74.0,77.0,0,8.0,8.0,0.0,40.032002287991006,1
567,11.7,21.3,7.599527470202413,73.0,60.0,0,4.4508929235253,4.516139514731369,0.2,31.0,0
569,11.5,18.7,6.4,59.0,76.0,0,4.4508929235253,4.516139514731369,0.0,37.0,1
570,15.3,38.2,7.599527470202413,70.0,22.0,0,4.4508929235253,4.516139514731369,0.0,17.0,0
573,15.7,27.7,7.599527470202413,81.0,73.0,0,4.4508929235253,4.516139514731369,0.0,33.0,0
578,7.0,19.4,7.599527470202413,53.0,47.0,0,4.4508929235253,4.516139514731369,0.0,28.0,1
580,20.9,26.4,7.599527470202413,83.0,83.0,1,4.4508929235253,4.516139514731369,2.0,41.0,1
584,4.3,30.2,7.599527470202413,47.0,12.0,0,4.4508929235253,4.516139514731369,0.0,43.0,0
586,19.0,31.5,7.599527470202413,45.0,51.56762611023354,0,0.0,4.516139514731369,0.0,41.0,0
587,7.5,21.8,7.599527470202413,49.0,29.0,0,4.4508929235253,4.516139514731369,0.0,22.0,0
590,3.7,24.6,7.599527470202413,67.0,28.0,0,4.4508929235253,4.516139514731369,0.0,30.0,0
598,9.0,24.7,7.599527470202413,51.0,26.0,0,1.0,4.516139514731369,0.0,43.0,0
602,3.8,18.1,7.599527470202413,78.0,50.0,0,4.4508929235253,4.516139514731369,0.2,24.0,0
603,11.0,18.4,7.599527470202413,86.0,83.0,0,6.0,8.0,0.0,37.0,0
610,22.1,34.1,9.6,49.0,35.0,0,7.0,6.0,0.0,39.0,0
612,11.9,23.9,8.7,48.0,30.0,0,5.0,5.0,0.0,52.0,0
616,11.4,16.2,7.599527470202413,86.0,76.0,0,4.4508929235253,4.516139514731369,0.0,19.0,1
620,16.5,25.0,7.599527470202413,61.0,45.0,0,7.0,4.0,0.4,40.032002287991006,0
627,1.3,24.2,7.599527470202413,77.0,30.0,0,4.4508929235253,4.516139514731369,0.0,41.0,0
633,9.6,22.2,7.599527470202413,97.0,68.0,0,8.0,6.0,0.0,40.032002287991006,0
635,8.0,34.6,7.599527470202413,38.0,16.0,0,4.0,3.0,0.0,56.0,0
638,25.2,38.0,7.599527470202413,76.0,51.56762611023354,0,0.0,4.516139514731369,0.0,33.0,0
643,1.9,15.9,7.599527470202413,74.0,40.0,0,4.4508929235253,4.516139514731369,0.0,41.0,0
646,21.4,28.3,6.0,71.0,69.0,1,6.0,3.0,2.0,33.0,0
653,15.7,23.0,6.1,74.0,58.0,0,7.0,7.0,0.0,44.0,0
654,19.3,25.5,7.599527470202413,83.0,44.0,0,7.0,7.0,0.6,28.0,0
655,7.7,16.7,7.6,80.0,66.0,0,7.0,3.0,0.0,31.0,0
656,10.2,21.2,7.599527470202413,82.0,93.0,0,6.0,7.0,0.0,40.032002287991006,1
657,0.1,14.6,8.8,100.0,53.0,0,3.0,6.0,0.0,15.0,0
662,10.3,25.2,8.1,75.0,53.0,0,7.0,3.0,0.0,50.0,0
663,16.2,28.6,8.5,52.0,38.0,0,1.0,7.0,0.0,33.0,0
664,16.4,24.7,9.0,72.0,71.0,0,2.0,5.0,0.0,35.0,0
676,17.1,22.2,7.599527470202413,84.0,80.0,0,4.4508929235253,4.516139514731369,0.4,37.0,0
678,19.1,21.8,7.599527470202413,100.0,100.0,1,4.4508929235253,4.516139514731369,1.8,39.0,1
682,6.6,13.5,7.6,97.0,48.0,0,6.0,5.0,0.6,35.0,0
684,20.2,34.1,7.599527470202413,38.0,19.0,0,4.4508929235253,4.516139514731369,0.0,52.0,0
685,6.6,19.8,7.599527470202413,61.0,40.0,0,8.0,7.0,0.0,37.0,0
688,13.9,20.0,8.8,56.0,48.0,0,7.0,7.0,0.0,61.0,0
689,6.1,17.1,6.2,78.0,59.0,0,5.0,7.0,0.0,20.0,0
698,22.3,29.8,7.599527470202413,51.0,40.0,0,6.0,7.0,0.0,46.0,0
